split,stem,img_path,gt_path,pseudo_path,gt_boxes,pseudo_boxes,matched,match_precision,match_recall,has_gt,has_pseudo
train,00041000_test,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\images\train\00041000_test.jpg,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\labels\train\00041000_test.txt,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\runs_ssod_paper3_one\r10_seed0_pseudo_labels\labels_train\00041000_test.txt,10,9,9,1.0,0.9,1,1
train,00041001_test,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\images\train\00041001_test.jpg,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\labels\train\00041001_test.txt,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\runs_ssod_paper3_one\r10_seed0_pseudo_labels\labels_train\00041001_test.txt,6,4,4,1.0,0.6666666666666666,1,1
train,00041002_test,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\images\train\00041002_test.jpg,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\labels\train\00041002_test.txt,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\runs_ssod_paper3_one\r10_seed0_pseudo_labels\labels_train\00041002_test.txt,7,4,4,1.0,0.5714285714285714,1,1
train,00041003_test,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\images\train\00041003_test.jpg,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\labels\train\00041003_test.txt,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\runs_ssod_paper3_one\r10_seed0_pseudo_labels\labels_train\00041003_test.txt,6,4,4,1.0,0.6666666666666666,1,1
train,00041005_test,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\images\train\00041005_test.jpg,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\labels\train\00041005_test.txt,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\runs_ssod_paper3_one\r10_seed0_pseudo_labels\labels_train\00041005_test.txt,9,8,8,1.0,0.8888888888888888,1,1
train,00041006_test,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\images\train\00041006_test.jpg,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\labels\train\00041006_test.txt,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\runs_ssod_paper3_one\r10_seed0_pseudo_labels\labels_train\00041006_test.txt,9,8,7,0.875,0.7777777777777778,1,1
train,00041008_test,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\images\train\00041008_test.jpg,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\labels\train\00041008_test.txt,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\runs_ssod_paper3_one\r10_seed0_pseudo_labels\labels_train\00041008_test.txt,5,4,4,1.0,0.8,1,1
train,00041009_test,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\images\train\00041009_test.jpg,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\labels\train\00041009_test.txt,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\runs_ssod_paper3_one\r10_seed0_pseudo_labels\labels_train\00041009_test.txt,6,8,5,0.625,0.8333333333333334,1,1
train,00041010_test,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\images\train\00041010_test.jpg,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\labels\train\00041010_test.txt,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\runs_ssod_paper3_one\r10_seed0_pseudo_labels\labels_train\00041010_test.txt,9,0,0,0.0,0.0,1,0
train,00041011_test,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\images\train\00041011_test.jpg,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\labels\train\00041011_test.txt,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\runs_ssod_paper3_one\r10_seed0_pseudo_labels\labels_train\00041011_test.txt,6,7,6,0.8571428571428571,1.0,1,1
train,00041013_test,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\images\train\00041013_test.jpg,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\labels\train\00041013_test.txt,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\runs_ssod_paper3_one\r10_seed0_pseudo_labels\labels_train\00041013_test.txt,9,6,6,1.0,0.6666666666666666,1,1
train,00041014_test,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\images\train\00041014_test.jpg,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\labels\train\00041014_test.txt,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\runs_ssod_paper3_one\r10_seed0_pseudo_labels\labels_train\00041014_test.txt,10,10,10,1.0,1.0,1,1
train,00041015_test,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\images\train\00041015_test.jpg,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\labels\train\00041015_test.txt,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\runs_ssod_paper3_one\r10_seed0_pseudo_labels\labels_train\00041015_test.txt,5,5,5,1.0,1.0,1,1
train,00041016_test,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\images\train\00041016_test.jpg,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\labels\train\00041016_test.txt,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\runs_ssod_paper3_one\r10_seed0_pseudo_labels\labels_train\00041016_test.txt,8,6,6,1.0,0.75,1,1
train,00041020_test,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\images\train\00041020_test.jpg,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\labels\train\00041020_test.txt,D:\ultralytics2\ultralytics-8.3.235\DeepPCB-master\DeepPCB-master\deeppcb_yolo\runs_ssod_paper3_one\r10_seed0_pseudo_labels\labels_train\00041020_test.txt,6,5,5,1.0,0.8333333333333334,1,1
